,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,167.8489916,176.5005208,180.0231645,173.4205236,169.4239967,162.3574656,172.0264693,173.0265084,176.8125898,171.3181487,184.2219028,178.8338775,183.8992613,184.4823666,174.8416481,170.1341986,178.4890885,173.1505033,169.0178374,169.6277902,171.9687959,166.1638345,170.7636963,160.9049661,164.8870218,166.2850568,173.3085383,163.3925844,129.2675089
1,168.1241935,175.7551991,180.1739562,173.3093663,169.4852234,162.8616266,172.2272658,173.0678604,177.0078573,172.0668209,183.8837956,177.9184952,183.2062312,185.0564217,174.6513355,169.5591002,178.0129502,172.5810417,168.6231958,170.9950298,171.8090225,166.0043606,171.3039432,161.0171286,165.6244231,165.7773867,173.4502545,162.8868419,129.1053381
2,168.2401228,175.7364291,180.2177312,172.9480317,170.0456238,162.814959,172.1557553,173.2156501,177.1371605,172.2553117,183.877716,177.3979558,183.1908757,184.7124194,174.9336061,169.6647217,177.5679776,172.5440455,168.7493638,170.6998348,171.2399486,166.0933436,170.5359599,161.2678419,165.7742169,165.4777086,173.3625406,163.1535393,128.9439672
3,168.4829899,176.4038542,179.7305712,173.102235,169.3294168,162.6312195,171.4726374,173.1689739,176.5819603,171.8947659,184.2143415,177.7334372,184.214529,184.2425535,174.4636185,169.6068996,177.7529243,172.3638087,168.7112767,171.512507,170.5713063,166.035804,170.2926905,161.4036686,165.9744805,164.8123674,173.7885266,162.6705337,129.0742598
4,167.7448497,176.4215994,180.1625599,173.5406295,169.182318,161.9244815,171.4806369,173.5520893,176.4658049,171.3447484,184.2774578,177.8529551,184.7811517,183.5024781,173.7796165,169.565921,178.0590414,172.6176515,168.5020574,171.1893036,170.0348631,166.4142983,169.9187628,162.1286322,165.5356182,165.1633038,174.2588409,163.1131009,129.521938
5,167.3569704,176.220297,180.6116202,173.1501926,168.9765737,162.0545251,171.2990898,173.7594069,177.0837053,171.341517,183.7502405,177.6078744,184.277187,183.2185564,174.3949685,169.303685,178.4327482,173.5135976,168.337337,171.1770637,170.250312,166.6911673,169.6889939,161.6337112,164.700749,164.4717412,173.5556286,162.8984909,129.5114307
6,167.398791,176.4389874,180.2886002,172.852422,169.221429,162.0641318,171.5599762,173.9968714,177.1412077,170.8945457,183.4858038,177.4036295,183.5602656,184.0429952,174.028232,169.9847248,177.9568742,173.0922188,168.4392109,170.7944544,170.2187926,166.7639366,169.9040462,161.8389709,164.4084309,164.2267438,173.4943846,162.5954463,129.3903895
7,166.9133197,177.444219,180.1990535,173.4869442,169.4949919,161.8769553,171.8539074,174.4288151,177.1473837,171.011819,182.9490126,177.1764335,184.5586383,183.9126302,174.0554232,170.5175445,178.6063619,173.276343,168.2679866,170.3836802,171.4479463,166.3393905,169.6857889,161.7262132,164.3238945,163.9334282,173.3417614,162.5809936,129.0523256
8,166.6163885,177.3309351,181.0477786,172.8786507,169.6757381,162.0945108,172.1251117,174.3377907,177.4149525,170.546627,182.3719498,177.1527611,184.4390843,183.8863018,173.4343729,170.3795407,178.6215318,173.4128175,168.2554224,170.112685,171.3883086,165.2058983,169.7848874,161.4058029,163.770007,164.2290343,174.2462473,163.5317721,129.4316919
9,166.0798987,176.5129545,180.3825911,172.2550044,169.6034525,162.5221743,172.0512247,174.6164976,177.2899807,170.2260474,182.2949011,177.0122494,183.9458261,184.4519878,173.2734414,170.0767587,179.3483362,174.0684239,168.5325022,170.8754341,171.3699577,164.8220699,169.9303651,160.9618014,164.0169537,164.4302847,174.7176061,163.3438804,129.0854927
10,166.2465887,176.6328268,179.9598988,172.0412786,169.6421175,162.5160175,171.7719424,174.6642161,177.8534724,169.5491886,182.135229,176.6430381,183.8667694,184.3674641,173.4985515,169.7792815,179.0189147,174.0262548,169.1019953,171.4717145,170.8574543,164.4489523,169.9920403,160.9367953,163.746524,163.523757,175.3781477,163.2811908,128.8478332
11,165.8986166,176.8243198,179.7394874,171.9834165,170.0311767,163.2534007,171.8715122,174.448886,178.1729667,169.9380252,182.4526229,176.7845905,183.9193881,184.4482656,173.3284304,169.1760394,179.2656677,173.2696084,169.1467315,170.6670294,170.8356556,164.6038273,170.4615816,160.9032153,163.9223984,164.0458382,175.0612269,163.1042935,128.8591951
12,165.6009668,176.2266502,179.6895319,172.1703949,169.1293203,163.4153007,171.3889308,174.9611105,178.3433776,168.9500035,182.3085513,176.4401487,183.6673538,184.9744592,173.4631909,170.0966013,179.6796693,173.0029014,169.4946803,170.9570627,171.3688366,163.8749432,171.5131055,161.1751927,163.9477462,164.0419191,174.6557959,162.8065569,129.0198461
13,166.1174298,176.2465735,179.9764215,172.1363906,168.7102103,163.4688721,170.7083538,174.6533389,179.1641012,168.2292346,181.9660538,176.6343305,183.457844,184.8913802,173.7067886,170.8253148,179.5595465,172.7858862,169.6499814,170.7511542,171.732771,163.8901616,171.456837,161.4572157,163.8665087,164.0528077,174.8488399,163.0236927,129.3593448
14,165.8362303,175.8616585,179.5032372,172.4947724,168.0208392,163.3154801,170.644345,174.2692033,178.1653132,168.0145695,181.9366848,175.9072509,183.9014694,184.6092225,173.9471576,170.9681839,180.3340172,172.8799938,170.4388732,170.9030314,171.6320759,163.3837319,171.3176157,161.4469052,164.2792842,163.6418495,175.6942497,163.4251153,129.4645305
15,166.0937012,175.9975583,179.4130133,171.8123398,167.3865774,162.6306033,170.536926,173.9785878,178.0751053,168.4471839,181.9675614,176.2688924,183.4012861,185.4518997,173.8962297,170.8462384,181.0718272,172.0100102,170.2446671,171.5875859,171.2745846,163.472187,170.5875433,161.4776398,164.5878049,164.2895308,176.5099956,163.3650182,129.5849164
16,166.6785733,175.7189376,179.5570488,171.076147,167.3028028,162.782326,171.0413012,173.7910339,178.3021198,168.5915258,181.4657695,175.7163992,182.9510787,185.772162,173.8699945,170.6518981,181.273593,171.9385199,170.1328716,171.3799552,171.3326999,163.6766665,170.1913431,161.7155039,164.481481,164.7855325,176.2469239,162.479533,130.2217293
17,166.6962256,175.5662908,179.9021641,171.0747793,168.2675279,162.8568018,170.8723119,174.6079848,178.2458411,168.0738181,181.4524723,176.0489741,183.1503815,185.7475602,174.2949795,170.7419808,181.75688,171.7548338,169.6926745,171.0029845,171.4584391,164.1356235,170.4791897,162.4833366,164.5350775,165.0156523,176.5292343,163.0488772,129.6640445
18,166.5390885,175.2035903,180.3328248,170.8353754,167.7991541,163.2327608,170.7540891,174.7594879,178.0463975,167.7865566,182.0248782,176.1646471,183.2372828,185.4121561,173.9043513,170.8124464,182.0228742,171.8479201,169.7074205,172.3635954,170.9767582,163.9000129,170.2691425,162.3518996,165.146567,165.2927941,176.8710271,163.5294151,129.2252201
19,166.2976053,176.3435917,180.217684,171.649567,167.3970925,162.9958963,170.4588072,174.9840379,178.1958498,167.7124168,182.5109327,176.8112645,182.776247,185.6070238,173.9658485,171.0161888,181.7807832,171.5818452,168.9580054,171.6122931,171.0718798,164.2878289,170.268264,162.4941356,164.9177834,164.6028432,177.1340267,163.2913309,128.9892578
20,165.6947337,176.0274939,179.8371597,171.6255367,167.2903426,163.3166485,169.9995335,174.8194859,178.4936568,167.7027509,182.7559906,176.3436189,182.5503153,185.436059,173.6845715,171.258705,181.428342,172.0108141,169.0525716,171.5210098,171.5155577,164.1523375,170.1429687,162.4841557,164.4694232,164.8296257,177.4039482,163.6777815,128.6622407
21,165.3403799,175.4457054,179.4570805,171.6734697,167.861407,163.1591239,169.9771185,174.8720805,178.3097528,168.2275153,182.944651,176.064119,182.2052027,184.8117526,173.5261922,170.4708538,181.8006711,172.2713287,168.4854626,171.9064923,171.2445357,164.0807832,169.7480502,162.0035951,164.4303246,164.2747559,176.8022264,163.427475,128.4127473
22,165.31764,175.5275501,178.9263223,171.6670846,168.161776,162.5282118,170.0663166,175.0576152,178.6204132,168.430641,182.7969758,175.7484946,182.2950878,184.5482137,173.5827198,171.2117522,182.2480926,172.6699625,168.6678297,172.2937387,171.6240276,164.0361657,169.3256743,161.9929449,164.8223638,163.8091695,176.6467947,163.4806934,128.1874249
23,164.9849942,175.6763904,178.774806,171.3737588,168.8126704,162.9162663,170.3355706,174.6999439,178.8393507,167.8292574,183.4002868,176.0803712,182.8621978,184.3908577,173.436217,171.646299,183.1720254,172.5436393,168.5469292,171.455899,171.0928754,164.5289865,169.9304272,161.8271552,164.7815333,164.5487419,176.6175133,163.2910695,128.8438183
24,165.1666799,176.2873049,178.1941809,170.9758131,169.0850517,163.2654974,170.5691299,174.2399248,177.8676724,167.1118558,182.8530087,175.7631991,182.8756085,184.0272813,173.2883799,171.6455221,183.1894511,172.3636996,168.048165,171.4471201,172.7638282,164.710938,169.7854543,162.1311596,164.9202559,163.7171971,176.4381985,162.8838171,128.8890572
25,166.1850964,176.296742,178.2845229,171.1689418,168.9524817,163.2450362,170.5515059,173.9865002,177.8699521,167.7820344,183.3034625,175.5180216,182.5524928,183.8610338,172.8488439,170.9537749,184.03617,172.9066913,167.9616488,171.703742,172.230331,165.2903006,169.8349348,162.2042189,164.2469252,164.0705599,176.6679158,162.8955284,129.3295986
26,165.3692208,176.2301449,178.5579668,170.989109,168.4085005,162.9299845,170.6109769,174.9873054,177.6979244,167.7331046,183.0692153,175.3091467,182.7295818,184.4019118,172.8119252,171.436511,183.4659725,172.8628388,167.9680998,171.7573488,172.52916,165.0992647,169.6921857,162.1759874,163.8354437,164.4013039,176.2642764,163.5403954,129.1148141
27,164.8809166,175.3910214,179.7288171,170.8204417,168.3299615,162.5553093,170.8364667,174.8343721,177.1074673,167.5770919,183.5862098,176.0098629,182.7824853,184.3603403,172.6650754,170.7547778,182.365875,172.8676012,168.4260816,171.6734142,172.1313451,165.4357918,168.9224425,162.4515946,163.4678846,164.8186606,176.4605402,163.3983689,128.7794362
28,164.8884169,175.7003444,179.8365113,171.2039243,168.3569253,162.7164328,170.5273358,174.8082905,177.4255648,167.2529963,183.7649988,175.2388724,182.9029373,184.6845945,172.0651364,170.4887729,182.6309822,172.9181252,168.7164558,172.2328018,172.5253937,165.5044641,169.3397296,162.1538306,162.8429291,163.8064203,176.8878923,163.4825177,128.1878837
29,165.3365154,176.0922668,180.0055155,171.6554721,168.3159141,162.8454043,170.3535384,174.4600967,177.5155951,167.0871978,183.469833,175.3727335,182.9253495,183.9054141,172.6805085,170.7615329,182.1441978,172.20337,168.9725957,172.2590872,171.6894463,166.0769149,169.404684,162.1299354,162.6099998,163.9968762,176.7454455,163.2486824,128.3555083
