,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,6336.518598630991,6719.127096383676,6776.083812840814,6772.042165379304,6775.894071276057,6873.28805364199,6819.288976756797,7046.6525237463375,7308.02815640508,7577.7708686546375,7743.358377018407,7795.8833843428465,7588.6595976986955,8352.134098282448,8345.166461869128,8498.178691708054,7658.957264479977,7377.291650534255,7387.3771026970435,7829.107720088409,7917.117611398343,7438.716144532919,7845.770700391247,7368.310266164153,7551.414960293249,8044.1194835626175,8386.326601994857,8557.601877693241,5463.769446183108
1,6332.297816617206,6737.007513382194,6755.632372819298,6774.578457176455,6774.724412110288,6884.384976085349,6798.265109117036,7059.513486064031,7323.880290285422,7568.238366111727,7769.44491337033,7773.268260181722,7588.506614810277,8379.296790874252,8333.139817681064,8511.594543079575,7636.774344409578,7381.7137169858015,7382.980377566086,7820.113630985616,7895.874313401061,7431.119264484366,7819.300391977766,7368.047550878296,7538.2279478886485,8045.793856839463,8375.33632614054,8566.947750697695,5441.705958906513
2,6334.307961260123,6757.728579291856,6734.697888130438,6757.055336337069,6766.9790149801065,6832.750086299063,6795.067839322577,7044.9246166899275,7331.614421329749,7551.509947377964,7752.045334213276,7752.901135984148,7621.696829342681,8411.731374044688,8332.723650330965,8514.568673417101,7631.81448219235,7446.800640317469,7361.062725547937,7807.851803369137,7933.395823257655,7438.784680684887,7820.244264275326,7379.080211336105,7551.517514949636,8070.39624221313,8366.874469291017,8543.86640259006,5425.226376349617
3,6362.164120734376,6734.666521279868,6725.15115930452,6745.016402908901,6758.668326298853,6821.056452623875,6783.071407720773,7070.926717815602,7323.263493578208,7529.911627561714,7774.819533190093,7756.651597523267,7632.604694500836,8391.82640641387,8328.757949872741,8479.620034071952,7641.488135694057,7426.40273576936,7369.703702079172,7816.194121157627,7920.756909452589,7432.167835657788,7824.663866640954,7397.605331392602,7553.680933060882,8077.036197658019,8375.197147438288,8558.735556699738,5402.268492764204
4,6380.378505753714,6774.048805205067,6704.906180055066,6755.446831216203,6750.609150139842,6834.550094707893,6795.554982112991,7048.896183103482,7322.384818033197,7533.723296098109,7747.939024066025,7752.23990557709,7614.09585504009,8391.668564628893,8323.722354168905,8451.129731110559,7622.709125456561,7410.611361737282,7396.867576348891,7821.866504721763,7915.537159138501,7445.872103032464,7834.010131701946,7409.660154350551,7553.83357661562,8044.088318866835,8359.488940956697,8553.352619044745,5396.21545072826
5,6364.523279622127,6775.654577706196,6698.769565905676,6748.652677968848,6759.3504743963795,6865.912029552704,6791.000713630525,7029.975298349309,7366.823068083351,7505.027657044873,7746.305504352939,7747.706281741732,7630.31139669495,8369.088047933205,8337.04810139903,8441.829395678202,7623.134978133042,7424.432010430547,7388.365360852385,7806.773228771973,7906.257771537789,7431.861371856585,7842.374926425557,7388.135119196465,7545.730458719173,8040.22516426303,8361.564710317241,8552.252237285391,5419.221560632245
6,6376.520552184928,6793.75112428191,6701.363573825542,6752.055860088276,6749.955689439411,6900.0676426447835,6796.467822318726,7048.438278609956,7355.0847051233795,7487.346928385284,7755.271404523534,7743.66963650381,7640.8787353850785,8348.042867812484,8363.27043121005,8478.5345056571,7644.590061760116,7423.560363375067,7393.960785428746,7853.441242122735,7924.923338357501,7421.9441651567895,7844.579499624516,7382.9591122955035,7580.218521917315,8076.572650121134,8371.27695485763,8565.480607336995,5408.739770101648
7,6368.729753583935,6826.044297999903,6705.349347429115,6764.530547275394,6748.424074327271,6899.547674007297,6797.621195646495,7038.504995630702,7344.64337134579,7513.405562588922,7759.709873135806,7745.615654432264,7621.685014959468,8355.487753834906,8338.148198391465,8443.372170160574,7660.996619643105,7426.444826569902,7389.183785574766,7833.483395003237,7889.633760587229,7445.012303158836,7869.762913904401,7394.0841388967965,7581.879723130236,8057.06597084605,8353.1135741091,8551.002342002806,5396.985515631978
8,6352.467319287829,6813.389328980839,6762.495233273453,6745.264299385182,6734.027356008747,6898.963718833434,6823.612356964652,7011.005892932099,7336.921364841975,7504.497769062521,7776.227098732287,7793.520460888401,7619.370304904327,8379.164153158918,8340.970478233037,8441.222429953916,7660.790479294105,7450.891520395946,7358.495003689439,7849.776653847704,7886.989921427312,7426.798797313309,7848.682738654188,7409.7448285000255,7577.630787727345,8057.242563567242,8364.487758040172,8534.956533697958,5400.110538546829
9,6347.938790556811,6794.538556597877,6741.817957038114,6728.308959838456,6731.024499428001,6894.755739768379,6826.883585096254,6996.137811311615,7373.015766973443,7485.145892999396,7755.91318657189,7789.62794611393,7597.34687510981,8367.855461268413,8361.871419844058,8421.067538194848,7637.139057815286,7470.435591866673,7378.780632288238,7854.552088586815,7878.474448937092,7437.32367674981,7875.843663860899,7442.950399307498,7568.05664032257,8091.167463694426,8384.971627262925,8544.60343304235,5380.173274182427
